,BGC,idseq
530,SSU5119,Cluster_1879979 Cluster_0165931 Cluster_1791130 Cluster_0604169 Cluster_1606065 Cluster_0445383 Cluster_0465771 Cluster_0539784 Cluster_1879714 Cluster_0959830 Cluster_1034541 Cluster_0438902 Cluster_1264520 Cluster_0160806 EC:3.6.3.43 Cluster_1133684 EC:2.7.7.24 Cluster_1283628 EC:4.2.1.46 EC:1.1.1.133 Cluster_1281626 Cluster_0158910
531,U18082,EC:1.14.13.180
532,U24659,Cluster_0021454 Cluster_1841683 EC:1.1.1.100 Cluster_0384975 Cluster_0223216
533,U25130,EC:6.2.1.3 Cluster_0313064 Cluster_1571098
534,U33059,EC:4.1.1.20 Cluster_0825503 Cluster_0177475 Cluster_0457011 Cluster_0077140 EC:4.2.1.144 Cluster_0657302 Cluster_0433533 EC:4.2.3.4 Cluster_1009142
535,U43704,Cluster_0028723 Cluster_1511279 Cluster_1810398 Cluster_1651630 Cluster_0204440 EC:1.1.1.100
536,U50202,Cluster_1350552 Cluster_1181060 Cluster_1840615
537,U50973,Cluster_0467269 EC:1.14.13.181
538,U52151,EC:2.3.1.165
539,U77891,Cluster_1170005 Cluster_0467269 Cluster_0904098 Cluster_1511279 Cluster_1877436 Cluster_0540862 EC:2.4.1.327
540,U95370,EC:6.2.1.3 EC:6.2.1.3 Cluster_0986494 Cluster_0850343 Cluster_1781987 Cluster_0439608
541,X16300,Cluster_1711381 EC:1.1.1.100 EC:2.3.1.179 Cluster_0492010 Cluster_1447749 Cluster_0116519
542,X55776,EC:2.2.1.7
543,X56660,EC:1.21.3.1 EC:1.14.20.1 EC:1.14.20.1 EC:5.1.1.17 EC:3.5.2.6
544,X58833,Cluster_1272841 Cluster_0642266 Cluster_1802499 Cluster_0034558 Cluster_0589711
545,X60379,Cluster_1695158 EC:1.14.13.188 Cluster_1905349 EC:2.1.1.254
546,X61658,EC:6.2.1.3
547,X62373,Cluster_1680828 Cluster_1844389 Cluster_0384293 Cluster_1059165
548,X63449,EC:2.3.1.179 Cluster_1088223 Cluster_0927644 Cluster_0898719 Cluster_0970700 Cluster_0471604
549,X64098,Cluster_0814072 Cluster_0664472 Cluster_0131176 Cluster_0769968 Cluster_1136375 Cluster_1201990 Cluster_0752512 Cluster_1700351
550,X70356,Cluster_1700351 EC:6.2.1.3 Cluster_1181069 Cluster_1683576 Cluster_1121618 Cluster_0836295 Cluster_0230163 Cluster_0885086
551,X87093,Cluster_1648206 Cluster_1593194 EC:2.3.1.179 EC:2.3.1.179 Cluster_1309221 EC:1.1.1.100
552,Y08763,Cluster_0895305 Cluster_0992319 EC:2.6.1.50 Cluster_1879976 Cluster_0477168 Cluster_0090820
553,Y19177,Cluster_0626518 EC:2.3.1.179 Cluster_1058708 Cluster_1036355 Cluster_0825757 Cluster_1072311
554,Z28383,Unknown
555,AB070956,Cluster_1831640 Cluster_1665866 Cluster_1313057 Cluster_0320463 Cluster_1397627 Cluster_1259910 Cluster_1767567 Cluster_0813181 Cluster_0363311 Cluster_1758789 Cluster_0610929 Cluster_0683611 Cluster_1058411 Cluster_1108803 Cluster_1643379 Cluster_1006225 Cluster_1065968 Cluster_1355449 Cluster_1397455 Cluster_0050232 Cluster_1048579 Cluster_0229422 Cluster_0529774 Cluster_0491701 Cluster_1291551 Cluster_1867137 Cluster_1432914 Cluster_1161398 Cluster_0860158 Cluster_0671321 Cluster_1057900
